Session Title,Date,Time Start,Time End,Room/Location,Description (Optional)
Power Hour with DJ Kagamine & friends,9/24/2016,08:00PM,09:00PM,Panel Room 3,"Join your Saturday Night DJs for an open forums about... anything! What is being a DJ like? How is it DJ-ing for convention? What color are your socks? Ask us anythng. Seriously, anything. "
Autograph with Jake Paque,9/24/2016,09:30PM,10:30PM,Panel Room 3,Come on by and get autographs with Jake Paque! Be sure to bring something with you to be signed. Limit of two items per person. Thank you. 
Jake Paque AMA,9/24/2016,10:30PM,11:30PM,Panel Room 3,"Swing by and throw some Q's at Jake (VA: Pokemon, Yu-gi-oh!, Winx Club). He'll try to answer. If questions run out, he'll just talk about his action figure collection! Win win situation right!? "
Self-Published Hell 18+,9/25/2016,12:00AM,01:00AM,Panel Room 3,"If you think Anime Hell is scary, you've never read a self-published book! If you're an author, this panel will make you both laugh and blush. If you're not a writer, you'll still probably enjoy watching us tear self-published books apart. Hosted by two battle-hardened publishers, this panel will include scandalous examples, helpful survival tips, and live readings of some atrocious works of fiction. One attendee will win a free publishing package! [18+]

For the safety and the safety of other, we are not letting anyone video tape or take photos in any 18+ events. Also, Anyone caught with a camera or recording device will have to delete the footage (if deemed inappropriat content), and , if said device is not put away, the person or persons resonsible will be removed for the event and/or removed from Ramencon 2016. "
DRAMAtical Not Murder 18+,9/25/2016,01:30AM,03:30AM,Panel Room 3,"Aoba and Sei are back for their 3rd year of answering your questions and performing your dares for your entertainment. With them are boyfriends aplenty Just sayin'. [18+]

For the safety and the safety of other, we are not letting anyone video tape or take photos in any 18+ events. Also, Anyone caught with a camera or recording device will have to delete the footage (if deemed inappropriat content), and , if said device is not put away, the person or persons resonsible will be removed for the event and/or removed from Ramencon 2016. "
Ramencons Got Talent!,9/24/2016,03:00PM,05:30PM,Atrium,"Come and show off your skill, whether it's picking your nose with daggers or breakdancing while eating ramen! Do you have what it takes to be Ramencon's Super Star of this year? Only one way to find out! "
Armour Academy: Chainmail!,9/24/2016,08:00PM,09:00PM,Atrium,"Want to learn how to make chainmail? Well good news! It's not that hard! In this panel, we will teach the traditional European four-in-one weave, used for armor from the Roman Empire through middle ages, and send you home with a small piece forged by your own hands! There will be a ten dollar materials fee to participate in this panel, but any may observe for free! Sign up at the Thundersteel Armoury table in Artis Alley to reserve your spot! "
Armour Academy: Scale Armour!,9/24/2016,09:00PM,10:00PM,Atrium,"Since the dawn of time, scale armor has been the coolest of all the armors. And now you too can learn how to make it! In this panel, we will teach the basic art of scale mail weaving, and send you home with a small piece of scale armor forged by your own hands!

There will be a fifteen dollar materials fee to participate in this panel, but any may observe for free! Sign up at the Thundersteel Armoury table in artist alley to reserve your spot! "
Armour Academy: Japanese Ring Mail!,9/24/2016,10:00PM,11:00PM,Atrium,"We will teach the basics of traditional Japanese-style Kusari weaving, a type of armor both similar to and notably different from western Chainmail. We'll teach you the basic So Kusari and Hana Kusari weaves, and send you home with a small piece forged by your own hands!

There will be a ten dollar materials fee to participate in this panel, but any may observe for free! Sign up at the Thundersteel Armoury table in artist alley to reserve your spot! "
Group Autograph,9/25/2016,12:00PM,02:00PM,Main Room,"Come on by and get an autograph with Spike Spencer, Jake Paque, and Jad Saxton! Be sure to bring something with you to be autographed. Please limit the number of items to two. Thank you.

Eric Stuart will not be part of this event, He will be signing autographs at his table out front the Dealers room when he is there. "
"HOW TO BE A FRICKIN GENIUS VOICE ACTOR, STEP ONE",9/25/2016,02:30PM,03:30PM,Main Room,Spike will share his knowledge of the VO world with you. Learn how the voice actors do that Voodoo that they do so well. Spike will help you understand how your voice is an instrument and how to fine tune it so that you too might become a Frickin Genius voice actor one day. Copies of this book will be available at the Con. 
Award & Closing Ceremony,9/25/2016,04:00PM,05:30PM,Main Room,"After testing your skills over the weekend, this is where you will be recognized! Don't worry; even if you didn't participate in any award events, you'll still have a chance to win something! This is also where we wil say goodbye to this year and work hard for next year! Come on by for the chance for some prizes! "
Ninja Olymics with samuri dan,9/25/2016,11:00AM,01:00PM,Big Panel Room,The ninja clans want you! Congoers get to risk life and limb (or at least acute embarrassment) to show off their ninja skills. Two teams will compete for FREE CANDY and bragging rights in this battle of the ages. Led by Samurai Dan. 
Anime Swap Meet,9/25/2016,01:30PM,05:30PM,Big Panel Room,"Welcome to Anime Swap Meet! Buy/Sell/Trade your anime stuff here! Come in and browse, or sell anything fandom-related you'd like, such as figures, DVDs, cosplay items, fanart, gothic lolita clothing, or even ball jointed doll stuff! Handmade items also accepted - anything goes!"
Marvel Q&A,9/25/2016,11:30AM,01:30PM,Panel Room 1,"Have you ever wanted to talk to a Marvel superhero or supervillian? Maybe ask them questions, like how their average day normally pans out? What do they do in their spare time? Well whatever the question, this would be the time and place to get it answered"
NINJA,9/25/2016,02:00PM,03:00PM,Panel Room 1,Have nothing better to do on a Sunday at the convention? Still have energy after a long night of partying? Come play a giant version of the super-fun game Ninja with us! Winners will be given exclusive prizes that you can't get anywhere else in the great region of Northwest Indiana. 
RPA Award Ceremony,9/25/2016,03:30PM,04:30PM,Panel Room 1,This is an award ceremony for the Great RPA that helped keep this year safe. Everyone is Welcome
Artistry of Kpop,9/25/2016,11:00AM,12:00PM,Panel Room 2,"Come with me on a visual tour of some of Kpop's most amazing videos. You will be introduced to some lesser known groups, as well as some videos from more widely known groups. Whether you are new to kpop or a veteran, you'll enjoy this panel! "
3-D Printing for Cosplay,9/25/2016,12:30PM,01:30PM,Panel Room 2,"You've heard of 3D printing, but have you ever considered using it for cosplay? Samaru will explain how you can use this new technology to help enhance cosplay props and accessories. We will cover printer selection, modelling basics, and how to finish your creations "
Evangelion Extra Canons,9/25/2016,02:00PM,03:00PM,Panel Room 2,"Neon Genesis Evangelion may be one of the most well-known animes of all time; with fame comes marketability, and Evangelion is no stranger to that! Come take a look at some of the weirder content with the Evangelion brand on it, including spin-off manga, video games, and the web series Petit Eva! Panel hosted by ""Virtual Pet Pool Party."" "
The Manliest Tournament 18+,9/25/2016,03:30PM,05:30PM,Panel Room 2,"Who should win the Manliest Tournament this year? Will Whitebeard, our reigning champion, remain victorious, or will someone else such as Gary Oak or Krillin take him off his throne? Let the Manliest Tournament begin!

For the safety and the safety of other, we are not letting anyone video tape or take photos in any 18+ events. Also, Anyone caught with a camera or recording device will have to delete the footage (if deemed inappropriat content), and , if said device is not put away, the person or persons resonsible will be removed for the event and/or removed from Ramencon 2016. "
Coloring Fun,9/25/2016,11:00AM,01:00PM,Panel Room 3,Love to color? Want to find out what this coloring craze is all about? Then this panel is for you! Get fun coloring pages and learn techniques to color with different fun tools. This is the panel to satisfy your inner child. 
Under the Radar Anime You Should Watch,9/25/2016,01:30PM,03:00PM,Panel Room 3,"With over 100 new anime series released every year, it's easy for stellar anime to get lost in the shuffle. In this panel, we'll introduce (without spoiling) anime from a variety of genres, such as Action, Sci Fi/Mecha, Comedy, Drama, Slice of Life, What Am I Watching?, and Horror! that you may have missed from years ago! "
Cosplaying and Me: A Sociological Perspective,9/25/2016,03:30PM,05:30PM,Panel Room 3,"What are some of the underlying reasons why people cosplay? What basic human needs does cosplaying fulfill? And is it a successful way of fulfilling those needs? The positive influence and impact of cosplaying and the creativity and imagination through this medium will be discussed at this panel. We will also talk about how cosplay as a subculture influences the larger society, and vice versa. Come with questions and be ready for good discussion! "
